column,file_name,is_valid
ep129_11,sharew6_rel9-0-0_ep.dta,True
ep129_12,sharew6_rel9-0-0_ep.dta,True
ep129_21,sharew6_rel9-0-0_ep.dta,True
ep129_22,sharew6_rel9-0-0_ep.dta,True
ep129_23,sharew6_rel9-0-0_ep.dta,True
ep129_24,sharew6_rel9-0-0_ep.dta,True
ep129_25,sharew6_rel9-0-0_ep.dta,True
ep129_26,sharew6_rel9-0-0_ep.dta,True
ep129_27,sharew6_rel9-0-0_ep.dta,True
ep129_28,sharew6_rel9-0-0_ep.dta,True
ep129_29,sharew6_rel9-0-0_ep.dta,True
ep129_30,sharew6_rel9-0-0_ep.dta,True
ep129_31,sharew6_rel9-0-0_ep.dta,True
ep129_32,sharew6_rel9-0-0_ep.dta,True
ep130_1,sharew6_rel9-0-0_ep.dta,True
ep130_2,sharew6_rel9-0-0_ep.dta,True
ep130_3,sharew6_rel9-0-0_ep.dta,True
ep130_4,sharew6_rel9-0-0_ep.dta,True
ep130_5,sharew6_rel9-0-0_ep.dta,True
ep130_6,sharew6_rel9-0-0_ep.dta,True
ep130_7,sharew6_rel9-0-0_ep.dta,True
ep130_8,sharew6_rel9-0-0_ep.dta,True
ep130_9,sharew6_rel9-0-0_ep.dta,True
ep130_10,sharew6_rel9-0-0_ep.dta,True
ep130_11,sharew6_rel9-0-0_ep.dta,True
ep130_12,sharew6_rel9-0-0_ep.dta,True
ep130_21,sharew6_rel9-0-0_ep.dta,True
ep130_22,sharew6_rel9-0-0_ep.dta,True
ep130_23,sharew6_rel9-0-0_ep.dta,True
ep130_24,sharew6_rel9-0-0_ep.dta,True
ep130_25,sharew6_rel9-0-0_ep.dta,True
ep130_26,sharew6_rel9-0-0_ep.dta,True
ep130_27,sharew6_rel9-0-0_ep.dta,True
ep130_28,sharew6_rel9-0-0_ep.dta,True
ep130_29,sharew6_rel9-0-0_ep.dta,True
ep130_30,sharew6_rel9-0-0_ep.dta,True
ep130_31,sharew6_rel9-0-0_ep.dta,True
ep130_32,sharew6_rel9-0-0_ep.dta,True
ep133_1,sharew6_rel9-0-0_ep.dta,True
ep133_2,sharew6_rel9-0-0_ep.dta,True
ep133_3,sharew6_rel9-0-0_ep.dta,True
ep133_4,sharew6_rel9-0-0_ep.dta,True
ep133_5,sharew6_rel9-0-0_ep.dta,True
ep133_6,sharew6_rel9-0-0_ep.dta,True
ep133_7,sharew6_rel9-0-0_ep.dta,True
ep133_8,sharew6_rel9-0-0_ep.dta,True
ep133_9,sharew6_rel9-0-0_ep.dta,True
ep133_10,sharew6_rel9-0-0_ep.dta,True
ep133_11,sharew6_rel9-0-0_ep.dta,True
ep133_12,sharew6_rel9-0-0_ep.dta,True
ep133_21,sharew6_rel9-0-0_ep.dta,True
ep133_22,sharew6_rel9-0-0_ep.dta,True
ep133_23,sharew6_rel9-0-0_ep.dta,True
ep133_24,sharew6_rel9-0-0_ep.dta,True
ep133_25,sharew6_rel9-0-0_ep.dta,True
ep133_26,sharew6_rel9-0-0_ep.dta,True
ep133_27,sharew6_rel9-0-0_ep.dta,True
ep133_28,sharew6_rel9-0-0_ep.dta,True
ep133_29,sharew6_rel9-0-0_ep.dta,True
ep133_30,sharew6_rel9-0-0_ep.dta,True
ep133_31,sharew6_rel9-0-0_ep.dta,True
ep133_32,sharew6_rel9-0-0_ep.dta,True
ep141d1,sharew6_rel9-0-0_ep.dta,True
ep141d2,sharew6_rel9-0-0_ep.dta,True
ep141d3,sharew6_rel9-0-0_ep.dta,True
ep141d4,sharew6_rel9-0-0_ep.dta,True
ep141d5,sharew6_rel9-0-0_ep.dta,True
ep141dno,sharew6_rel9-0-0_ep.dta,True
ep152isco,sharew6_rel9-0-0_ep.dta,True
ep204_,sharew6_rel9-0-0_ep.dta,True
ep205e,sharew6_rel9-0-0_ep.dta,True
ep205ub,sharew6_rel9-0-0_ep.dta,True
ep205v1,sharew6_rel9-0-0_ep.dta,True
ep205v2,sharew6_rel9-0-0_ep.dta,True
ep205v3,sharew6_rel9-0-0_ep.dta,True
ep206_,sharew6_rel9-0-0_ep.dta,True
ep207e,sharew6_rel9-0-0_ep.dta,True
ep207ub,sharew6_rel9-0-0_ep.dta,True
ep207v1,sharew6_rel9-0-0_ep.dta,True
ep207v2,sharew6_rel9-0-0_ep.dta,True
ep207v3,sharew6_rel9-0-0_ep.dta,True
ep208_1,sharew6_rel9-0-0_ep.dta,True
ep208_2,sharew6_rel9-0-0_ep.dta,True
ep208_3,sharew6_rel9-0-0_ep.dta,True
ep208_4,sharew6_rel9-0-0_ep.dta,True
ep208_5,sharew6_rel9-0-0_ep.dta,True
ep208_6,sharew6_rel9-0-0_ep.dta,True
ep208_7,sharew6_rel9-0-0_ep.dta,True
ep208_8,sharew6_rel9-0-0_ep.dta,True
